Accession,Organelle
O75380,Mitochondria
O75390,Mitochondria
O75439,Mitochondria
O75489,Mitochondria
O75880,Mitochondria
O75947,Mitochondria
O75964,Mitochondria
O76031,Mitochondria
O95169,Mitochondria
O95202,Mitochondria
O95299,Mitochondria
O96008,Mitochondria
P00367,Mitochondria
P00505,Mitochondria
P04181,Mitochondria
P05091,Mitochondria
P05165,Mitochondria
P05166-2,Mitochondria
P06576,Mitochondria
P07919,Mitochondria
P08559,Mitochondria
P08574,Mitochondria
P09001,Mitochondria
P09622,Mitochondria
P10515,Mitochondria
P10809,Mitochondria
P11177,Mitochondria
P11182,Mitochondria
P11310-2,Mitochondria
P13073,Mitochondria
P13804,Mitochondria
P13995,Mitochondria
P16219,Mitochondria
P19404,Mitochondria
P21912,Mitochondria
P21953,Mitochondria
P22033,Mitochondria
P22695,Mitochondria
P22830-2,Mitochondria
P23368,Mitochondria
P23786,Mitochondria
P24539,Mitochondria
P24752,Mitochondria
P26440,Mitochondria
P27144,Mitochondria
P28331-2,Mitochondria
P30038,Mitochondria
P30042,Mitochondria
P30084,Mitochondria
P30837,Mitochondria
P31040,Mitochondria
P31930,Mitochondria
P31937,Mitochondria
P35232,Mitochondria
P36776,Mitochondria
P36957,Mitochondria
P38117,Mitochondria
P40939,Mitochondria
P42126,Mitochondria
P42765,Mitochondria
P43304,Mitochondria
P43897,Mitochondria
P45954,Mitochondria
P48735,Mitochondria
P49411,Mitochondria
P49448,Mitochondria
P49590,Mitochondria
P49748-3,Mitochondria
P49821,Mitochondria
P50213,Mitochondria
P51398,Mitochondria
P51649-2,Mitochondria
P51970,Mitochondria
P53007,Mitochondria
P54098,Mitochondria
P55809,Mitochondria
P61604,Mitochondria
P62072,Mitochondria
P82650,Mitochondria
P82675,Mitochondria
P82912,Mitochondria
Q00325-2,Mitochondria
Q02127,Mitochondria
Q02218,Mitochondria
Q02252,Mitochondria
Q10713,Mitochondria
Q12849,Mitochondria
Q12931,Mitochondria
Q13084,Mitochondria
Q13423,Mitochondria
Q15070,Mitochondria
Q15118,Mitochondria
Q16134,Mitochondria
Q16698,Mitochondria
Q16762,Mitochondria
Q16822,Mitochondria
Q16836,Mitochondria
Q3SY69,Mitochondria
Q3ZCQ8-2,Mitochondria
Q4G0N4,Mitochondria
Q53H12,Mitochondria
Q5JRX3-2,Mitochondria
Q5JTZ9,Mitochondria
Q5T160,Mitochondria
Q6P444,Mitochondria
Q6PI48,Mitochondria
Q6UB35,Mitochondria
Q6UXV4,Mitochondria
Q7L8L6,Mitochondria
Q7Z3D6-2,Mitochondria
Q86UT6,Mitochondria
Q86Y39,Mitochondria
Q8N0X4,Mitochondria
Q8N183,Mitochondria
Q8NBN7,Mitochondria
Q8NC60,Mitochondria
Q8NCN5,Mitochondria
Q8NE86,Mitochondria
Q8NI60,Mitochondria
Q8TAA5,Mitochondria
Q8WWV3,Mitochondria
Q92667,Mitochondria
Q92947,Mitochondria
Q969S9,Mitochondria
Q96A35,Mitochondria
Q96AG3,Mitochondria
Q96CM8-2,Mitochondria
Q96DV4,Mitochondria
Q96EY8,Mitochondria
Q96GC5,Mitochondria
Q96I59,Mitochondria
Q96I99,Mitochondria
Q96IX5,Mitochondria
Q96NB2,Mitochondria
Q96RP9,Mitochondria
Q96RQ3,Mitochondria
Q96T66,Mitochondria
Q96TA2-2,Mitochondria
Q99714,Mitochondria
Q99798,Mitochondria
Q99807,Mitochondria
Q9BRT2,Mitochondria
Q9BVV7,Mitochondria
Q9BW92,Mitochondria
Q9BWM7,Mitochondria
Q9BX68,Mitochondria
Q9BXW7,Mitochondria
Q9BYC9,Mitochondria
Q9BZE1,Mitochondria
Q9H078-2,Mitochondria
Q9H0R6,Mitochondria
Q9H2W6,Mitochondria
Q9H3K2,Mitochondria
Q9H5Q4,Mitochondria
Q9H7H0,Mitochondria
Q9H845,Mitochondria
Q9H936,Mitochondria
Q9H9P8,Mitochondria
Q9HA77,Mitochondria
Q9HCC0,Mitochondria
Q9NNW7,Mitochondria
Q9NP81,Mitochondria
Q9NP92,Mitochondria
Q9NRX2,Mitochondria
Q9NSE4,Mitochondria
Q9NWU5,Mitochondria
Q9NZ45,Mitochondria
Q9P015,Mitochondria
Q9UBX3-2,Mitochondria
Q9UGM6,Mitochondria
Q9UHN1,Mitochondria
Q9UJS0,Mitochondria
Q9UKU7,Mitochondria
Q9Y2R0,Mitochondria
Q9Y2Z2-6,Mitochondria
Q9Y2Z4,Mitochondria
Q9Y305-4,Mitochondria
Q9Y3D3,Mitochondria
Q9Y4W6,Mitochondria
Q9Y5J9,Mitochondria
Q9Y6M9,Mitochondria
Q9Y6N5,Mitochondria
Q9BVP2,Nucleolus
P56182,Nucleolus
Q9NQ55,Nucleolus
Q8NI36,Nucleolus
Q9NW13,Nucleolus
Q8IY81,Nucleolus
Q9NY93,Nucleolus
O15226-2,Nucleolus
Q15050,Nucleolus
Q15061,Nucleolus
Q14137,Nucleolus
Q9BXY0,Nucleolus
Q9GZR2,Nucleolus
Q12788,Nucleolus
O00566,Nucleolus
O00567,Nucleolus
O43818,Nucleolus
O76021,Nucleolus
P22087,Nucleolus
P55769,Nucleolus
Q5JTH9,Nucleolus
Q99848,Nucleolus
Q9BYG3,Nucleolus
Q9BZE4,Nucleolus
Q9H0A0,Nucleolus
Q9NR30,Nucleolus
Q9Y2R4,Nucleolus
Q9Y2X3,Nucleolus
Q8TDN6,Nucleolus
Q9NX24,Nucleolus
P78316,Nucleolus
Q9Y3T9,Nucleolus
Q14690,Nucleolus
Q5C9Z4,Nucleolus
Q96GQ7,Nucleolus
O60832,Nucleolus
Q9NVP1,Nucleolus
Q13895,Nucleolus
Q9Y5J1,Nucleolus
O43395,Nucleus
O43660,Nucleus
O43684-2,Nucleus
O60942,Nucleus
O75152,Nucleus
O75694,Nucleus
O75934,Nucleus
P19388,Nucleus
P35249,Nucleus
P35658-5,Nucleus
P40937,Nucleus
P41223,Nucleus
P43246,Nucleus
Q01081,Nucleus
Q02040,Nucleus
Q05639,Nucleus
Q06587,Nucleus
Q12996,Nucleus
Q13151,Nucleus
Q13769,Nucleus
Q14498,Nucleus
Q15233,Nucleus
Q15397,Nucleus
Q5VTL8,Nucleus
Q5VTR2,Nucleus
Q86W42,Nucleus
Q8IYB3,Nucleus
Q8N1F7,Nucleus
Q8NI27,Nucleus
Q8WXF1,Nucleus
Q96FV9,Nucleus
Q96GM8,Nucleus
Q96T37,Nucleus
Q99567,Nucleus
Q99575,Nucleus
Q9BY42,Nucleus
Q9GZR7,Nucleus
Q9H0D6,Nucleus
Q9H6F5,Nucleus
Q9Y2W1,Nucleus
O95104,Nucleus
Q13427,Nucleus
O75150,Nucleus
Q8N201,Nucleus
Q9NYF8,Nucleus
C9JLW8,Nucleus
O00541,Nucleus
O15160,Nucleus
O43390,Nucleus
O60306,Nucleus
O75400,Nucleus
O75533,Nucleus
O75643,Nucleus
O94776,Nucleus
P07910-2,Nucleus
P08579,Nucleus
P09012,Nucleus
P14866,Nucleus
P23193,Nucleus
P27540,Nucleus
Q13242,Nucleus
O43143,Nucleus
P09661,Nucleus
P26368,Nucleus
Q12874,Nucleus
Q15029,Nucleus
Q2TAY7,Nucleus
P42285,Nucleus
P13010,Nucleus
Q8WWY3,Nucleus
Q13263,Nucleus
P08621,Nucleus
Q53GS9,Nucleus
Q10570,Nucleus
Q9UBL3,Nucleus
Q00839,Nucleus
Q13435,Nucleus
Q15428,Nucleus
P35637,Nucleus
Q9P2I0,Nucleus
Q9BZK7,Nucleus
Q9Y3B4,Nucleus
Q15393,Nucleus
P12956,Nucleus
P51991,Nucleus
P35269,Nucleus
Q1KMD3,Nucleus
Q9Y383,Nucleus
Q13185,Nucleus
Q9NQG5,Nucleus
Q15459,Nucleus
Q9BUJ2,Nucleus
P09110,Peroxisome
A8MXV4,Peroxisome
O00116,Peroxisome
O14734,Peroxisome
O15228,Peroxisome
O15254,Peroxisome
O75381,Peroxisome
O96011,Peroxisome
P28288,Peroxisome
P33897,Peroxisome
P51659,Peroxisome
P56589,Peroxisome
Q08426,Peroxisome
Q15067-2,Peroxisome
Q2T9J0,Peroxisome
Q6YN16,Peroxisome
Q86WA8,Peroxisome
Q8N4Q0,Peroxisome
Q8NBU5,Peroxisome
Q8WVX9,Peroxisome
Q92968,Peroxisome
Q96K12,Peroxisome
Q9BTZ2,Peroxisome
Q9BY49,Peroxisome
Q9NUI1,Peroxisome
Q9P0Z9,Peroxisome
Q9UJ83,Peroxisome
Q9Y2Q3,Peroxisome
Q9Y5Y5-2,Peroxisome
B0I1T2,Plasma Membrane
O00161,Plasma Membrane
O15031,Plasma Membrane
O15394,Plasma Membrane
O60503,Plasma Membrane
O60669,Plasma Membrane
O75695,Plasma Membrane
O95980,Plasma Membrane
P01892,Plasma Membrane
P04921,Plasma Membrane
P05023,Plasma Membrane
P05362,Plasma Membrane
P08575,Plasma Membrane
P08582,Plasma Membrane
P08648,Plasma Membrane
P10586,Plasma Membrane
P11166,Plasma Membrane
P11169,Plasma Membrane
P11215-2,Plasma Membrane
P11234-2,Plasma Membrane
P12318,Plasma Membrane
P13612,Plasma Membrane
P13987,Plasma Membrane
P15144,Plasma Membrane
P15151,Plasma Membrane
P16070,Plasma Membrane
P16284,Plasma Membrane
P19440,Plasma Membrane
P20020,Plasma Membrane
P20701-2,Plasma Membrane
P22732,Plasma Membrane
P23634,Plasma Membrane
P50151,Plasma Membrane
P55082,Plasma Membrane
Q03405,Plasma Membrane
Q10588,Plasma Membrane
Q12913,Plasma Membrane
Q13641,Plasma Membrane
Q13740-2,Plasma Membrane
Q14126,Plasma Membrane
Q14699,Plasma Membrane
Q15262-3,Plasma Membrane
Q15758,Plasma Membrane
Q6GTX8,Plasma Membrane
Q7Z2K8,Plasma Membrane
Q7Z5N4,Plasma Membrane
Q86VZ1,Plasma Membrane
Q8NHJ6-2,Plasma Membrane
Q8NHJ6-3,Plasma Membrane
Q969P0,Plasma Membrane
Q96I34,Plasma Membrane
Q96PE1,Plasma Membrane
Q9C0B5,Plasma Membrane
Q9GZY6,Plasma Membrane
Q9NRM0,Plasma Membrane
Q9NWQ8,Plasma Membrane
Q9UIB8,Plasma Membrane
Q9UIW2,Plasma Membrane
Q9Y624,Plasma Membrane
P05556,Plasma Membrane
Q8NG11,Plasma Membrane
P18084,Plasma Membrane
P50895,Plasma Membrane
P06756,Plasma Membrane
Q6PCB8,Plasma Membrane
Q08334,Plasma Membrane
P20138,Plasma Membrane
P32970,Plasma Membrane
P07333,Plasma Membrane
P32942,Plasma Membrane
O60353,Plasma Membrane
Q96F46,Plasma Membrane
,
