"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance","GN"
"UBA7",0.25285899745427,4.28070036624424,2.03752200025923,0.0790120225129732,0.304689668127296,-5.33232740894245,"Not significant","UBA7"
"CMSS1",-0.290539501489687,4.88295654940826,-2.03552426561789,0.0792499283960642,0.305322930978245,-5.33525774886385,"Not significant","CMSS1"
"SART3",-0.232538786425791,5.00478724186786,-2.03494942431448,0.0793185153869391,0.305322930978245,-5.33610079850912,"Not significant","SART3"
"STEAP3",-0.226376841981544,4.56352682967053,-2.03259357066019,0.0796002133423755,0.306132720130355,-5.33955515958858,"Not significant","STEAP3"
"HNRNPH2",0.251247661003499,4.3699366474698,2.030882280792,0.0798054547702116,0.306647280101834,-5.34206371432908,"Not significant","HNRNPH2"
"PLP2",-0.493474011579964,3.50836458689085,-2.02901236250042,0.0800303156432491,0.3072362385875,-5.34480413372024,"Not significant","PLP2"
"DDAH2",-0.260269399014827,4.95081232192411,-2.02772313658587,0.0801857096520595,0.307557699576979,-5.34669312496704,"Not significant","DDAH2"
"TLK2",0.242816921200386,4.79880959560636,2.027000596211,0.0802729290249009,0.30761733158471,-5.34775165538428,"Not significant","TLK2"
"DDX56",-0.293153426588583,4.1197888051879,-2.02591261617455,0.0804044372033602,0.30784642683035,-5.34934536173969,"Not significant","DDX56"
"NF1",0.274754927166698,5.00061500392637,2.0250043382916,0.0805143861442078,0.307992642897451,-5.3506756526794,"Not significant","NF1"
"GLRX",-0.294198389188417,4.59489604593007,-2.02266166743401,0.0807986532507402,0.30880482613729,-5.35410603084307,"Not significant","GLRX"
"NDUFB1",-0.263363175732627,4.86861151081778,-2.01968634829966,0.0811611085270933,0.309914126155057,-5.35846119586961,"Not significant","NDUFB1"
"RBMXL1",-0.321051951161177,5.04230306170537,-2.01737583664144,0.0814436767870954,0.310141890602984,-5.36184199727247,"Not significant","RBMXL1"
"SLC4A2",-0.415298954273968,3.83971799138918,-2.01643565754885,0.0815589338091208,0.310141890602984,-5.36321737985218,"Not significant","SLC4A2"
"NELFA",-0.237994332190054,4.66183778878195,-2.01549894183021,0.0816739253760743,0.310141890602984,-5.36458751579566,"Not significant","NELFA"
"C21orf59",-0.34524178785855,5.08543817393911,-2.01540439266215,0.0816855410994246,0.310141890602984,-5.36472580305105,"Not significant","C21orf59"
"RABEP2",-0.233158346174147,4.1075686548992,-2.01481530462105,0.0817579493034656,0.310141890602984,-5.36558735964103,"Not significant","RABEP2"
"NUP50",0.229430853056753,5.19880253140135,2.01459217892787,0.0817853914024978,0.310141890602984,-5.36591366815515,"Not significant","NUP50"
"FBXO4",-0.295002357781574,4.66194272049958,-2.01448594506436,0.0817984602178722,0.310141890602984,-5.36606902548359,"Not significant","FBXO4"
"GDI1",-0.3315398485925,4.19310812138527,-2.01390044119423,0.0818705252531336,0.310141890602984,-5.36692522978893,"Not significant","GDI1"
"RAB3GAP1",0.317356506686676,4.73907739493865,2.01389577198927,0.081871100198784,0.310141890602984,-5.36693205745917,"Not significant","RAB3GAP1"
"RUVBL2",-0.234384616494563,5.19061629846463,-2.01131284732678,0.0821897579942687,0.311074463237567,-5.37070831911706,"Not significant","RUVBL2"
"ACP1",-0.2235584284754,5.06533022558791,-2.00878459988328,0.082502847745233,0.311984337024264,-5.37440330502547,"Not significant","ACP1"
